,ATPR,_id,air_temperature,amount_of_solar_radiation,nodeID,precipitation,relative_humidity,time,wind_direction,wind_speed
0,,597f4825fb393e001401f6d0,,,7,,92.4,2017-07-31T15:09:22.000000Z,,
1,,597f4829fb393e001401f6d4,27.6,,7,,,2017-07-31T15:09:27.000000Z,,
2,1011.0,597f482dfb393e001401f6d8,,,7,,,2017-07-31T15:09:31.000000Z,,
3,,597f4831fb393e001401f6de,,,7,,,2017-07-31T15:09:35.000000Z,,1.0
4,,597f4834fb393e001401f6e1,,,7,,,2017-07-31T15:09:39.000000Z,270.0,
5,,597f4a7cfb393e001401f815,,,7,,93.2,2017-07-31T15:19:22.000000Z,,
6,,597f4a80fb393e001401f819,27.4,,7,,,2017-07-31T15:19:26.000000Z,,
7,1010.0,597f4a83fb393e001401f821,,,7,,,2017-07-31T15:19:30.000000Z,,
8,,597f4a87fb393e001401f824,,,7,,,2017-07-31T15:19:34.000000Z,,1.0
9,,597f4a8bfb393e001401f826,,,7,,,2017-07-31T15:19:38.000000Z,315.0,
10,,597f4cd7fb393e001401f978,,,7,,93.5,2017-07-31T15:29:24.000000Z,,
11,,597f4cddfb393e001401f97c,27.4,,7,,,2017-07-31T15:29:30.000000Z,,
12,1011.0,597f4ce2fb393e001401f97e,,,7,,,2017-07-31T15:29:35.000000Z,,
13,,597f4ce8fb393e001401f980,,,7,,,2017-07-31T15:29:41.000000Z,,1.0
14,,597f4ceefb393e001401f986,,,7,,,2017-07-31T15:29:46.000000Z,315.0,
15,,597f4cf3fb393e001401f988,,,7,0.0,,2017-07-31T15:29:52.000000Z,,
16,,597f4cf7fb393e001401f98a,,,7,,,2017-07-31T15:29:57.000000Z,,
17,,597f4f2dfb393e001401faab,,,7,,93.7,2017-07-31T15:39:22.000000Z,,
18,,597f4f33fb393e001401fab1,27.3,,7,,,2017-07-31T15:39:28.000000Z,,
19,1009.0,597f4f39fb393e001401fab3,,,7,,,2017-07-31T15:39:34.000000Z,,
20,,597f4f3efb393e001401fab5,,,7,,,2017-07-31T15:39:39.000000Z,,1.0
21,,597f4f42fb393e001401fabb,,,7,,,2017-07-31T15:39:44.000000Z,45.0,
22,,597f5186fb393e001401fc1a,,,7,,93.4,2017-07-31T15:49:22.000000Z,,
23,,597f518afb393e001401fc20,27.3,,7,,,2017-07-31T15:49:29.000000Z,,
24,1009.0,597f518efb393e001401fc27,,,7,,,2017-07-31T15:49:33.000000Z,,
25,,597f5192fb393e001401fc2b,,,7,,,2017-07-31T15:49:36.000000Z,,1.0
26,,597f5195fb393e001401fc2f,,,7,,,2017-07-31T15:49:40.000000Z,360.0,
27,,597f53dcfb393e001401fd61,,,7,,93.1,2017-07-31T15:59:22.000000Z,,
28,,597f53e0fb393e001401fd68,27.3,,7,,,2017-07-31T15:59:26.000000Z,,
29,1010.0,597f53e4fb393e001401fd72,,,7,,,2017-07-31T15:59:30.000000Z,,
30,,597f53e7fb393e001401fd74,,0.0,7,,,2017-07-31T15:59:34.000000Z,,
31,,597f53ebfb393e001401fd7a,,,7,,,2017-07-31T15:59:38.000000Z,,0.0
32,,597f53effb393e001401fd7f,,,7,,,2017-07-31T15:59:41.000000Z,315.0,
33,,597f5634fb393e001401feb0,,,7,,93.4,2017-07-31T16:09:22.000000Z,,
34,,597f5638fb393e001401feb3,27.3,,7,,,2017-07-31T16:09:26.000000Z,,
35,1011.0,597f563bfb393e001401feb8,,,7,,,2017-07-31T16:09:30.000000Z,,
36,,597f563ffb393e001401feba,,,7,,,2017-07-31T16:09:34.000000Z,,0.0
37,,597f5643fb393e001401fec0,,,7,,,2017-07-31T16:09:37.000000Z,360.0,
38,,597f588dfb393e0014020023,,,7,,93.5,2017-07-31T16:19:22.000000Z,,
39,,597f5893fb393e0014020029,27.3,,7,,,2017-07-31T16:19:28.000000Z,,
40,1010.0,597f5899fb393e0014020030,,,7,,,2017-07-31T16:19:34.000000Z,,
41,,597f589ffb393e0014020032,,,7,,,2017-07-31T16:19:39.000000Z,,0.0
42,,597f58a4fb393e001402003c,,,7,,,2017-07-31T16:19:45.000000Z,360.0,
43,,597f5ae5fb393e001402015f,,,7,,94.6,2017-07-31T16:29:22.000000Z,,
44,,597f5aebfb393e0014020167,27.1,,7,,,2017-07-31T16:29:28.000000Z,,
45,1010.0,597f5af1fb393e001402016a,,,7,,,2017-07-31T16:29:34.000000Z,,
46,,597f5af5fb393e001402016e,,,7,,,2017-07-31T16:29:39.000000Z,,1.0
47,,597f5af9fb393e0014020172,,,7,,,2017-07-31T16:29:44.000000Z,45.0,
48,,597f5afdfb393e0014020174,,,7,0.0,,2017-07-31T16:29:48.000000Z,,
49,,597f5b01fb393e0014020176,,,7,,,2017-07-31T16:29:52.000000Z,,
50,,597f5d50fb393e00140202b0,,,7,,94.8,2017-07-31T16:39:42.000000Z,,
51,,597f5d54fb393e00140202b3,26.9,,7,,,2017-07-31T16:39:46.000000Z,,
52,1010.0,597f5d58fb393e00140202b7,,,7,,,2017-07-31T16:39:50.000000Z,,
53,,597f5d5bfb393e00140202bd,,,7,,,2017-07-31T16:39:54.000000Z,,1.0
54,,597f5d5ffb393e00140202c2,,,7,,,2017-07-31T16:39:58.000000Z,270.0,
55,,597f5f94fb393e00140203ec,,,7,,95.4,2017-07-31T16:49:22.000000Z,,
56,,597f5f98fb393e00140203f0,26.8,,7,,,2017-07-31T16:49:27.000000Z,,
57,1010.0,597f5f9cfb393e00140203f5,,,7,,,2017-07-31T16:49:31.000000Z,,
58,,597f5fa0fb393e00140203f7,,,7,,,2017-07-31T16:49:34.000000Z,,0.0
59,,597f5fa4fb393e00140203fa,,,7,,,2017-07-31T16:49:38.000000Z,270.0,
60,,597f61eefb393e0014020520,,,7,,95.3,2017-07-31T16:59:22.000000Z,,
61,,597f61f4fb393e0014020526,26.9,,7,,,2017-07-31T16:59:29.000000Z,,
62,1009.0,597f61fafb393e001402052f,,,7,,,2017-07-31T16:59:35.000000Z,,
63,,597f61fffb393e0014020532,,0.0,7,,,2017-07-31T16:59:40.000000Z,,
64,,597f6205fb393e001402053c,,,7,,,2017-07-31T16:59:46.000000Z,,0.0
65,,597f620bfb393e0014020545,,,7,,,2017-07-31T16:59:52.000000Z,270.0,
66,,597f6446fb393e001402067a,,,7,,95.0,2017-07-31T17:09:24.000000Z,,
67,,597f6449fb393e001402067e,27.2,,7,,,2017-07-31T17:09:28.000000Z,,
68,1010.0,597f644efb393e0014020680,,,7,,,2017-07-31T17:09:32.000000Z,,
69,,597f6451fb393e0014020682,,,7,,,2017-07-31T17:09:36.000000Z,,0.0
70,,597f6456fb393e0014020688,,,7,,,2017-07-31T17:09:40.000000Z,270.0,
71,,597f66a1fb393e00140207cd,,,7,,95.2,2017-07-31T17:19:26.000000Z,,
72,,597f66abfb393e00140207d1,27.0,,7,,,2017-07-31T17:19:37.000000Z,,
